,date,count,temp,rain
34481,2018-12-26 04:15:00,0,1.0,0
34482,2018-12-26 04:30:00,0,1.0,0
34483,2018-12-26 04:45:00,0,1.0,0
34484,2018-12-26 05:00:00,0,1.0,0
34485,2018-12-26 05:15:00,0,1.0,0
34486,2018-12-26 05:30:00,0,1.0,0
34487,2018-12-26 05:45:00,0,1.0,0
34488,2018-12-26 06:00:00,0,1.0,0
34489,2018-12-26 06:15:00,0,1.0,0
34490,2018-12-26 06:30:00,0,1.0,0
34491,2018-12-26 06:45:00,0,1.0,0
34492,2018-12-26 07:00:00,0,1.0,0
34493,2018-12-26 07:15:00,0,1.0,0
34494,2018-12-26 07:30:00,0,1.0,0
34495,2018-12-26 07:45:00,0,1.0,0
34496,2018-12-26 08:00:00,0,1.0,0
34497,2018-12-26 08:15:00,0,1.0,0
34498,2018-12-26 08:30:00,0,1.0,0
34499,2018-12-26 08:45:00,2,1.0,0
34500,2018-12-26 09:00:00,0,1.0,0
34501,2018-12-26 09:15:00,2,1.0,0
34502,2018-12-26 09:30:00,3,1.0,0
34503,2018-12-26 09:45:00,0,1.0,0
34504,2018-12-26 10:00:00,4,1.0,0
34505,2018-12-26 10:15:00,4,1.0,0
34506,2018-12-26 10:30:00,12,1.0,0
34507,2018-12-26 10:45:00,2,1.0,0
34508,2018-12-26 11:00:00,12,1.0,0
34509,2018-12-26 11:15:00,3,1.0,0
